timestamp,date,price,market_cap,volume
1717387624877,2024-06-03 00:07:04.877,0.18526131777664476,1514859324.9186752,30914987.737696555
1717391045742,2024-06-03 01:04:05.742,0.18583091804616111,1512540983.96626,34894258.557112105
1717394555415,2024-06-03 02:02:35.415,0.18659031756865926,1524702995.1493614,32539799.482634068
1717398194672,2024-06-03 03:03:14.672,0.18869378477306564,1542077294.5338433,37242048.751902305
1717402046323,2024-06-03 04:07:26.323,0.1869592380691799,1528791177.973875,37153769.902826875
1717405641178,2024-06-03 05:07:21.178,0.18733846723403894,1534030966.2265906,35056351.024826266
1717409233512,2024-06-03 06:07:13.512,0.18680413514821312,1527361195.9277518,33964621.81864046
1717412502737,2024-06-03 07:01:42.737,0.18616773833594988,1521433291.2812545,32395428.464343783
1717416468650,2024-06-03 08:07:48.650,0.18649208283163937,1521242396.691918,32380523.112459194
1717420086156,2024-06-03 09:08:06.156,0.18761881572621997,1532450279.2385373,37200985.08157116
1717423628989,2024-06-03 10:07:08.989,0.18693983952807258,1528908870.6907318,34827314.23297852
1717427109560,2024-06-03 11:05:09.560,0.18500223547526332,1509956112.3970368,39181981.62134336
1717430959376,2024-06-03 12:09:19.376,0.18678901723658092,1531388718.1681073,39591706.951553985
1717434530759,2024-06-03 13:08:50.759,0.18535475309309224,1517395475.2909236,34592722.69357587
1717437987995,2024-06-03 14:06:27.995,0.18657493632459393,1523336229.3347192,32255947.282783523
1717441439277,2024-06-03 15:03:59.277,0.1862478778060728,1522087832.6833084,32642522.143448945
1717444973382,2024-06-03 16:02:53.382,0.18598309828535328,1521460547.05578,32021309.68304918
1717448531750,2024-06-03 17:02:11.750,0.18573649041182524,1518788618.8650115,30773993.227629617
1717452407409,2024-06-03 18:06:47.409,0.18487232466279566,1509988538.8108041,30870972.046480443
1717456072530,2024-06-03 19:07:52.530,0.1843815912687779,1508449148.1351707,32877908.667912755
1717459296783,2024-06-03 20:01:36.783,0.1839172134739629,1501825388.7344532,35154602.983476475
1717462893857,2024-06-03 21:01:33.857,0.1831276765390057,1496588012.038065,31974290.28643449
1717466631686,2024-06-03 22:03:51.686,0.18360334365449754,1500475297.745214,30991845.10836821
1717470498687,2024-06-03 23:08:18.687,0.18201872515496065,1486250705.4122632,30967090.71000821
1717474104029,2024-06-04 00:08:24.029,0.181505497127849,1488673213.1959078,30628307.72390917
1717477704228,2024-06-04 01:08:24.228,0.18068402562074323,1479112825.1822438,33276447.95039175
1717481302282,2024-06-04 02:08:22.282,0.17999948413897315,1476250567.1762404,29912599.191443782
1717484895278,2024-06-04 03:08:15.278,0.17950149326201972,1468779520.8100183,30238825.611175377
1717488212431,2024-06-04 04:03:32.431,0.1808929403026996,1478324493.4490428,28787468.528833933
1717491680521,2024-06-04 05:01:20.521,0.18070206802284816,1481081559.8167067,32744737.398532484
1717495212016,2024-06-04 06:00:12.016,0.1801694767439665,1473823463.6171215,31982449.371129625
1717499524049,2024-06-04 07:12:04.049,0.182317179704421,1490176883.8760688,33484118.26867864
1717507540769,2024-06-04 09:25:40.769,0.18190128353728713,1487110422.222058,29728961.408511184
1717510226718,2024-06-04 10:10:26.718,0.18261907149019693,1490954057.263667,28691175.790420614
1717513385287,2024-06-04 11:03:05.287,0.18305327103102143,1496528242.1047783,28854860.53488358
1717517165581,2024-06-04 12:06:05.581,0.1857280670165498,1517741333.9874005,32711897.391056694
1717520623693,2024-06-04 13:03:43.693,0.18565397286073929,1517789776.7812378,33360188.97190031
1717524448516,2024-06-04 14:07:28.516,0.18601002825592994,1516888414.2578738,34247105.20225221
1717527781885,2024-06-04 15:03:01.885,0.18680950376480274,1527627633.1656692,34655162.81518056
1717531476408,2024-06-04 16:04:36.408,0.18650895995138633,1523623042.0988376,33306908.47239488
1717535015682,2024-06-04 17:03:35.682,0.18621842356749344,1522279125.1966202,34859099.88960059
1717538715209,2024-06-04 18:05:15.209,0.18586181697275841,1519151187.860765,34617876.019141674
1717542099477,2024-06-04 19:01:39.477,0.18603093274388738,1519712393.791239,34940476.86707468
1717545738756,2024-06-04 20:02:18.756,0.18616371502325005,1522358407.8743818,35003889.69530183
1717549444536,2024-06-04 21:04:04.536,0.18677950814780186,1526990741.2470946,34112010.41398468
1717553357330,2024-06-04 22:09:17.330,0.1863463565477895,1526112565.132954,32156585.66691163
1717556414450,2024-06-04 23:00:14.450,0.18609830389029333,1520405771.150402,32988123.52418905
1717560270169,2024-06-05 00:04:30.169,0.18657699361861027,1523976263.9921737,31999493.568337407
1717563629151,2024-06-05 01:00:29.151,0.18722652259103217,1528729526.8762522,36749796.028874926
1717567326231,2024-06-05 02:02:06.231,0.18736348186832374,1533903623.3533025,36848707.781544805
1717571234900,2024-06-05 03:07:14.900,0.18888774236827402,1545043768.050135,36359272.21406972
1717574727747,2024-06-05 04:05:27.747,0.18722021839566036,1531022498.6242228,37008674.33647609
1717578316013,2024-06-05 05:05:16.013,0.18743297833694333,1531889005.7465303,36432160.049667925
1717581669133,2024-06-05 06:01:09.133,0.1870232810439731,1528983028.5770001,36950934.117697045
1717585415272,2024-06-05 07:03:35.272,0.18745259531326497,1532551011.8040047,34333854.47505181
1717589249051,2024-06-05 08:07:29.051,0.1877793158482235,1537415165.9528313,34220871.28604495
1717592449986,2024-06-05 09:00:49.986,0.18771828087400652,1534205323.0913115,34368574.35658744
1717596454169,2024-06-05 10:07:34.169,0.18754207912656276,1533756909.0884264,35013409.414969645
1717599693178,2024-06-05 11:01:33.178,0.18881631450655914,1543945798.402167,37117057.216323815
